motif,C_eff,C_eff_err
0-0-0,0.006439,0.001194
0-0-1,0.009630,0.001319
0-0-1,0.011224,0.002718
0-0-1,0.014474,0.002681
0-0-1,0.003666,0.002407
0-0-1,0.006098,0.001000
0-0-1,0.007138,0.001187
0-0-1,0.012709,0.001999
0-0-2,0.016997,0.002600
0-0-2,0.010727,0.001168
0-0-2,0.012401,0.001572
0-0-2,0.012466,0.001534
0-0-2,0.019660,0.003727
0-0-2,0.008315,0.001130
0-0-2,0.006309,0.000790
0-0-2,0.008052,0.001306
1-0-1,0.016271,0.002215
1-0-1,0.010694,0.001373
1-0-1,0.009970,0.001032
1-0-1,0.013768,0.002128
1-0-1,0.016534,0.002289
1-0-1,0.015342,0.002117
1-0-1,0.011237,0.001392
1-0-1,0.015876,0.001890
0-0-3,0.016615,0.002131
0-0-3,0.013915,0.001680
0-0-3,0.011936,0.001769
0-0-3,0.014046,0.001865
0-0-3,0.022147,0.003414
0-0-3,0.020094,0.004569
0-0-3,0.008960,0.001365
0-0-3,0.011016,0.001704
0-0-3,0.019500,0.002930
1-0-2,0.016977,0.001505
1-0-2,0.015673,0.002469
1-0-2,0.014347,0.001423
1-0-2,0.018965,0.001617
1-0-2,0.027229,0.003975
1-0-2,0.016002,0.002043
1-0-2,0.012872,0.001836
1-0-2,0.014865,0.001864
1-0-2,0.018193,0.001826
2-0-1,0.014140,0.002431
2-0-1,0.013935,0.003270
2-0-1,0.015715,0.001952
2-0-1,0.018338,0.001531
2-0-1,0.018290,0.003075
2-0-1,0.016614,0.001983
2-0-1,0.014130,0.001632
2-0-1,0.015442,0.001195
2-0-1,0.016876,0.002104
1-1-1,0.017335,0.002417
1-1-1,0.017976,0.002583
1-1-1,0.016184,0.001485
1-1-1,0.015886,0.001795
1-1-1,0.018640,0.002469
1-1-1,0.017081,0.001727
1-1-1,0.017581,0.001998
1-1-1,0.018032,0.002095
1-1-1,0.017609,0.001498
0-0-4,0.020438,0.003685
0-0-4,0.016659,0.002351
0-0-4,0.015458,0.002267
0-0-4,0.017769,0.002324
0-0-4,0.018716,0.002354
0-0-4,0.016487,0.002902
0-0-4,0.022235,0.002167
0-0-4,0.014941,0.001508
0-0-4,0.013768,0.001376
0-0-4,0.014464,0.001913
1-0-3,0.016070,0.001510
1-0-3,0.014520,0.001101
1-0-3,0.015401,0.001564
1-0-3,0.016607,0.001687
1-0-3,0.019195,0.001974
1-0-3,0.024191,0.001953
1-0-3,0.021314,0.002369
1-0-3,0.014524,0.001458
1-0-3,0.014695,0.001505
1-0-3,0.017075,0.001699
2-0-2,0.016189,0.001226
2-0-2,0.018374,0.002465
2-0-2,0.018059,0.002784
2-0-2,0.019611,0.002151
2-0-2,0.023313,0.001784
2-0-2,0.018450,0.002696
2-0-2,0.020656,0.002153
2-0-2,0.016489,0.002085
2-0-2,0.017597,0.002127
2-0-2,0.019608,0.001758
3-0-1,0.024114,0.002352
3-0-1,0.016123,0.002555
3-0-1,0.016791,0.001804
3-0-1,0.016359,0.001168
3-0-1,0.022314,0.001939
3-0-1,0.022117,0.003402
3-0-1,0.017079,0.002028
3-0-1,0.014755,0.001235
3-0-1,0.015238,0.001046
3-0-1,0.012708,0.000959
1-1-2,0.017410,0.001797
1-1-2,0.015937,0.001190
1-1-2,0.017716,0.001126
1-1-2,0.016875,0.001261
1-1-2,0.016124,0.001668
1-1-2,0.023005,0.001826
1-1-2,0.016077,0.001026
1-1-2,0.014500,0.001156
1-1-2,0.017430,0.001293
1-1-2,0.019402,0.001841
0-0-0-0,3.045916,0.154694
0-0-0-0,2.501827,0.156165
0-0-0-0,3.655257,0.177307
0-0-0-0,2.507265,0.189794
0-0-0-0,3.049704,0.207953
0-0-0-0,2.442459,0.190287
0-0-0-0,3.062172,0.129582
0-0-0-0,2.241096,0.225809
0-0-0-1,1.107786,0.099223
0-0-0-1,0.908983,0.061820
0-0-0-1,0.629967,0.054645
0-0-0-1,0.476911,0.030192
0-0-0-1,1.061212,0.072244
0-0-0-1,1.056982,0.172948
0-0-0-1,0.904280,0.088475
0-0-0-1,0.558026,0.165532
0-0-0-1,0.529006,0.096196
0-0-0-2,0.134216,0.021627
0-0-0-2,0.191936,0.011584
0-0-0-2,0.230621,0.015119
0-0-0-2,0.138015,0.021256
0-0-0-2,0.120278,0.019100
0-0-0-2,0.195467,0.014183
0-0-0-2,0.229578,0.013694
0-0-0-2,0.233832,0.015759
0-0-0-2,0.209666,0.025132
0-0-0-2,0.109513,0.025173
1-0-0-1,0.637875,0.067138
1-0-0-1,0.537270,0.114873
1-0-0-1,0.829607,0.067870
1-0-0-1,0.648600,0.054417
1-0-0-1,0.460421,0.082588
1-0-0-1,0.549765,0.076609
1-0-0-1,0.656585,0.069828
1-0-0-1,0.602438,0.157571
1-0-0-1,0.589735,0.102262
1-0-0-1,0.577034,0.031483
0-1-0-1,0.211218,0.012248
0-1-0-1,0.246178,0.013341
0-1-0-1,0.214311,0.011081
0-1-0-1,0.125871,0.010515
0-1-0-1,0.105233,0.007022
0-1-0-1,0.184712,0.011948
0-1-0-1,0.233748,0.012438
0-1-0-1,0.223705,0.011441
0-1-0-1,0.123403,0.011056
0-1-0-1,0.107083,0.007008
0-0-0-3,0.042198,0.005401
0-0-0-3,0.047328,0.003826
0-0-0-3,0.059224,0.004287
0-0-0-3,0.052375,0.006554
0-0-0-3,0.053300,0.008361
0-0-0-3,0.040571,0.003762
0-0-0-3,0.049146,0.004183
0-0-0-3,0.053555,0.003650
0-0-0-3,0.054017,0.004000
0-0-0-3,0.050276,0.005651
0-0-0-3,0.040371,0.006668
1-0-0-2,0.337779,0.018190
1-0-0-2,0.279768,0.035423
1-0-0-2,0.210455,0.018578
1-0-0-2,0.214452,0.018711
1-0-0-2,0.153237,0.014346
1-0-0-2,0.293928,0.043358
1-0-0-2,0.300720,0.051751
1-0-0-2,0.369322,0.064317
1-0-0-2,0.321328,0.089096
1-0-0-2,0.179874,0.049063
1-0-0-2,0.173786,0.030244
2-0-0-1,0.158783,0.017700
2-0-0-1,0.295283,0.040593
2-0-0-1,0.339620,0.020492
2-0-0-1,0.309649,0.019287
2-0-0-1,0.213040,0.011222
2-0-0-1,0.159861,0.043605
2-0-0-1,0.157700,0.034964
2-0-0-1,0.217812,0.050075
2-0-0-1,0.266848,0.035641
2-0-0-1,0.301663,0.029650
2-0-0-1,0.221976,0.026573
0-1-0-2,0.057392,0.004861
0-1-0-2,0.057206,0.003803
0-1-0-2,0.059566,0.003813
0-1-0-2,0.057829,0.005740
0-1-0-2,0.053328,0.004298
0-1-0-2,0.048450,0.003895
0-1-0-2,0.065933,0.004637
0-1-0-2,0.061046,0.004047
0-1-0-2,0.057854,0.003576
0-1-0-2,0.045300,0.007570
0-1-0-2,0.043747,0.003143
1-1-0-1,0.336747,0.017384
1-1-0-1,0.248143,0.020567
1-1-0-1,0.217886,0.021582
1-1-0-1,0.196707,0.021840
1-1-0-1,0.160628,0.010964
1-1-0-1,0.316455,0.049419
1-1-0-1,0.345880,0.058176
1-1-0-1,0.299285,0.027828
1-1-0-1,0.191080,0.017213
1-1-0-1,0.147785,0.008351
1-1-0-1,0.413872,0.027013
0-0-0-4,0.025469,0.002476
0-0-0-4,0.021118,0.001843
0-0-0-4,0.015737,0.001233
0-0-0-4,0.017808,0.001467
0-0-0-4,0.018602,0.001480
0-0-0-4,0.023290,0.003805
0-0-0-4,0.016348,0.001489
0-0-0-4,0.018924,0.002007
0-0-0-4,0.023141,0.001703
0-0-0-4,0.022363,0.001796
0-0-0-4,0.022372,0.001900
0-0-0-4,0.019571,0.001519
1-0-0-3,0.069528,0.009228
1-0-0-3,0.120684,0.010369
1-0-0-3,0.110019,0.015302
1-0-0-3,0.079568,0.007982
1-0-0-3,0.073070,0.009466
1-0-0-3,0.056393,0.008358
1-0-0-3,0.074609,0.005444
1-0-0-3,0.087581,0.004846
1-0-0-3,0.106158,0.007956
1-0-0-3,0.116247,0.021396
1-0-0-3,0.099627,0.012237
1-0-0-3,0.054877,0.005083
2-0-0-2,0.218367,0.032098
2-0-0-2,0.163677,0.031144
2-0-0-2,0.177755,0.011992
2-0-0-2,0.233784,0.024042
2-0-0-2,0.186840,0.017501
2-0-0-2,0.135827,0.017755
2-0-0-2,0.114122,0.016930
2-0-0-2,0.151138,0.016994
2-0-0-2,0.240148,0.065069
2-0-0-2,0.182695,0.029008
2-0-0-2,0.123601,0.020929
2-0-0-2,0.140865,0.008897
3-0-0-1,0.062401,0.012123
3-0-0-1,0.084350,0.006810
3-0-0-1,0.118832,0.008177
3-0-0-1,0.117776,0.007129
3-0-0-1,0.104292,0.006069
3-0-0-1,0.087055,0.008531
3-0-0-1,0.059747,0.007151
3-0-0-1,0.072669,0.010231
3-0-0-1,0.064922,0.006270
3-0-0-1,0.090211,0.005451
3-0-0-1,0.098273,0.005468
3-0-0-1,0.068776,0.010328
0-1-0-3,0.025896,0.001830
0-1-0-3,0.021994,0.002354
0-1-0-3,0.019169,0.001571
0-1-0-3,0.022220,0.001591
0-1-0-3,0.028186,0.003374
0-1-0-3,0.028729,0.003091
0-1-0-3,0.021502,0.002422
0-1-0-3,0.026052,0.002167
0-1-0-3,0.025934,0.001896
0-1-0-3,0.025881,0.002133
0-1-0-3,0.021541,0.001855
0-1-0-3,0.024391,0.002456
1-1-0-2,0.128209,0.007162
1-1-0-2,0.135877,0.009871
1-1-0-2,0.101170,0.009439
1-1-0-2,0.076251,0.005783
1-1-0-2,0.068890,0.004666
